代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
688118	普元信息	14.99	54.82	8.22	63.04	63.04	0	0	--  	--  	--  	--  	--  	54.82	--  	0	  3.98	软件服务	上海	0.00	54.82	0	0	--  	705	705	-304	4444300	--  	--  	--  	          0.22	         11.88亿	         52.30亿	  0.00	      0	--  	--  	1	-6.21	20.46	103.79	36.40	--  	         11.88亿	91.54	108.88	0.00	-- -- 				14.99	--  	--  	14.99	--  	--  	--  	--  	20191203	20191204	          0.95	--  	--  	4.06	3.26	--  	19.60	3.92	0.09	0.01	0.79	0.62	1.42	1.16	1.79	0.75	-0.04	0.00	-0.04	-0.02	-0.02	-0.05	1.19	-0.63	-0.15	21929.00	           988	5.42万	0.00	0.00	          5.74	-82.78	29.28	0.00	-0.020㈢	          9.55	9.55	          1.22	          1.25	         -0.66	         80.40	  -0.58㈢	         58.14	         -2.51	         -1.07	0.35	1114	688118	--  	--  	--  	
688298	东方生物	14.75	91.33	13.47	104.80	104.80	0	0	--  	--  	--  	--  	--  	91.33	   140.86	0	  3.34	生物制药	浙江	0.00	91.33	0	0	--  	688	688	-22	7210200	--  	--  	--  	          0.27	         24.90亿	        109.60亿	  0.00	      0	--  	--  	1	-8.20	329.79	329.79	329.79	--  	         24.90亿	144.05	167.66	0.00	-- -- 				14.75	--  	--  	14.75	--  	--  	--  	--  	20200204	20200205	          1.20	--  	--  	3.15	2.29	          0.04	26.31	2.17	0.50	0.10	0.74	0.72	0.77	0.28	2.62	1.39	0.65	0.00	0.66	0.55	0.58	0.53	0.99	0.31	-0.43	26553.00	          1027	9.38万	0.00	0.00	         14.06	351.59	41.79	0.00	0.486㈢	          6.49	6.49	          0.24	          0.83	          0.26	         72.49	  25.52㈢	         47.01	         24.94	         22.25	0.23	1028	688298	--  	--  	--  	
002480	新筑股份	10.11	4.35	0.44	4.79	4.79	0	0	--  	--  	--  	--  	--  	4.35	--  	0	  9.04	机械基件	四川	0.00	4.35	0	0	--  	7163	7163	415423	3431100	--  	58.00	198987616	          6.40	         27.84亿	         28.32亿	  0.00	      0	--  	--  	5	16.63	11.25	16.00	9.85	--  	         20.22亿	--  	215.02	0.90	EXPMA金叉				10.11	--  	--  	10.11	--  	--  	--  	--  	20191113	20100921	          6.51	--  	--  	78.52	22.25	          1.43	69.85	45.60	14.22	4.13	47.72	15.07	16.18	14.79	12.78	10.27	-1.41	0.17	-1.31	-1.15	-1.21	-1.44	0.47	-2.47	-2.33	34685.00	         13399	5.83万	-939.08	-2.48	          1.27	-11.45	2.22	0.00	-0.185㈢	          3.42	0.00	          2.27	          0.07	         -0.38	         28.33	  -5.43㈢	         19.63	        -11.03	         -9.45	0.31	2034	002480	--  	--  	--  	
002006	精功科技	10.10	5.25	0.53	5.78	5.78	0	0	--  	--  	--  	--  	--  	5.25	--  	0	 11.71	专用机械	浙江	0.00	5.25	0	0	--  	8587	8587	6574	4963300	--  	0.77	3799772	          4.55	         23.90亿	         23.90亿	  0.00	      0	--  	--  	2	6.27	5.85	21.25	12.66	--  	         14.83亿	--  	416.88	1.02	EXPMA金叉				10.10	--  	--  	10.10	--  	--  	--  	--  	20200103	20040625	          4.55	--  	--  	18.59	9.61	          0.09	47.83	12.58	4.17	0.42	8.87	4.21	3.11	2.70	6.47	5.33	-0.66	-0.06	-0.66	-0.68	-0.64	-0.74	1.31	-0.03	-0.40	41043.00	          6884	3.61万	-299.25	-11.73	          2.49	-757.57	3.69	0.00	-0.140㈢	          2.11	0.00	          0.59	          0.29	         -0.01	         51.67	  -6.65㈢	         17.53	        -10.21	         -9.88	0.30	1241	002006	--  	--  	--  	
002347	泰尔股份	10.09	4.56	0.46	5.02	5.02	0	0	--  	--  	--  	--  	--  	4.56	    85.11	0	 15.71	机械基件	安徽	0.00	4.56	0	0	--  	7148	7148	153316	3588300	--  	21.45	76964632	          3.17	         14.44亿	         20.38亿	  0.00	      0	--  	--  	6	7.29	0.22	5.31	1.11	--  	         11.50亿	86.78	101.62	0.88	-- -- 				10.09	--  	--  	10.09	--  	--  	--  	--  	20191104	20100128	          4.47	--  	--  	21.94	11.47	          0.10	47.29	17.03	2.47	0.60	10.02	5.60	5.63	4.90	6.18	4.38	0.26	-0.01	0.27	0.19	0.18	0.16	1.69	0.14	-0.59	37926.00	          6652	3.03万	23.60	16.74	          1.78	146.66	3.30	0.00	0.040㈢	          2.56	0.00	          1.10	          0.38	          0.03	         52.26	   1.57㈢	         29.15	          4.17	          2.91	0.35	984	002347	--  	--  	--  	
600707	彩虹股份	10.08	4.96	0.50	5.46	5.46	0	0	--  	--  	--  	--  	--  	4.96	--  	0	  5.82	元器件	陕西	0.00	4.96	0	0	--  	14149	14149	96197	7725400	--  	6.80	52523564	         12.88	         63.88亿	        177.98亿	  0.00	      0	--  	--  	2	18.10	18.66	28.17	18.10	--  	         31.74亿	--  	291.67	1.43	EXPMA金叉				10.08	--  	--  	10.08	--  	--  	--  	--  	20191030	19960520	         35.88	--  	--  	410.05	197.20	          1.76	51.48	88.02	221.61	22.08	80.62	8.33	15.56	205.00	40.86	47.51	-7.12	0.45	-6.99	-6.99	-7.00	-14.96	-45.99	-1.88	-26.18	56390.00	         11347	5.63万	-162.43	404.73	          0.90	-94.70	4.36	0.00	-0.195㈢	          5.50	0.00	          5.71	         -1.28	         -0.05	         48.09	  -3.55㈢	        -16.26	        -17.42	        -17.14	1.93	3497	600707	--  	--  	--  	
600156	华升股份	10.08	5.06	0.51	5.57	5.57	0	0	--  	--  	--  	--  	--  	5.06	--  	0	 29.60	纺织	湖南	0.00	5.06	0	0	--  	10953	10953	130964	6100800	--  	11.96	72946952	          4.02	         20.35亿	         20.35亿	  0.00	      0	--  	--  	2	10.24	13.96	24.32	13.20	--  	         12.14亿	90.18	73.69	1.27	KDJ金叉				10.08	--  	--  	10.08	--  	--  	--  	--  	20191024	19980527	          4.02	--  	--  	11.61	7.19	          0.12	37.01	6.77	1.08	1.35	3.78	1.87	1.42	1.48	7.46	7.16	-0.30	0.02	-0.30	-0.31	-0.26	-0.31	1.42	-0.38	-0.81	30255.00	          7933	4.01万	-23.61	9.46	          2.83	-53.61	2.73	0.00	-0.066㈢	          1.79	0.00	          0.37	          0.35	         -0.09	         61.93	  -3.68㈢	          3.98	         -4.02	         -3.54	0.06	1971	600156	--  	--  	--  	
600239	云南城投	10.07	2.88	0.29	3.17	3.17	0	0	--  	--  	--  	--  	--  	2.88	--  	0	  7.45	区域地产	云南	0.00	2.88	0	0	--  	5863	5863	75776	1858600	--  	12.92	24020992	         16.06	         46.24亿	         46.24亿	  0.00	      0	--  	--  	-1	5.49	-9.15	0.35	-0.35	--  	         26.87亿	--  	9.41	1.10	-- -- 				10.07	--  	--  	10.07	--  	--  	--  	--  	20191029	19991202	         16.06	--  	--  	887.41	44.18	         33.14	91.29	586.74	26.46	4.20	537.38	515.15	5.90	13.88	48.52	31.87	-12.78	0.14	-13.60	-12.36	-10.63	-10.39	5.78	-9.50	-4.73	50142.00	         18606	5.36万	-567.15	-30.61	          1.18	-4.87	0.95	3.19	-0.680㈢	          2.44	2.44	          0.86	          0.36	         -0.59	          4.98	 -24.06㈢	         34.33	        -26.35	        -21.91	--  	4087	600239	--  	--  	--  	
002297	博云新材	10.06	6.26	0.63	6.89	6.89	0	0	--  	--  	--  	--  	--  	6.26	--  	0	  5.00	矿物制品	湖南	0.00	6.26	0	0	--  	3807	3807	3298	2623000	--  	0.87	2272322	          4.70	         29.43亿	         29.50亿	  0.00	      0	--  	--  	2	1.13	-5.58	1.79	-2.49	--  	         18.78亿	418.69	109.00	0.93	-- -- 				10.06	--  	--  	10.06	--  	--  	--  	--  	20191024	20090929	          4.71	--  	--  	21.18	15.28	          0.21	26.85	11.57	4.97	1.72	3.91	3.54	1.75	11.47	2.69	2.09	-0.13	-0.12	-0.13	-0.15	-0.14	-0.28	-1.09	-0.27	-0.51	48596.00	          6173	3.86万	-325.16	-34.73	          1.93	-108.69	10.95	0.00	-0.029㈢	          3.24	0.00	          2.43	         -0.23	         -0.06	         72.14	  -0.91㈢	         22.40	         -4.81	         -5.15	0.12	624	002297	--  	--  	--  	
600160	巨化股份	10.06	7.95	0.80	8.75	8.75	0	0	--  	--  	--  	--  	--  	7.95	    18.38	0	  5.03	化工原料	浙江	0.00	7.95	0	0	--  	20509	20509	-6084	17945400	--  	--  	--  	         27.45	        218.24亿	        218.24亿	  0.00	      0	--  	--  	1	13.42	12.13	17.08	9.20	--  	         89.04亿	15.77	10.14	1.23	上穿BOLL上轨				10.06	--  	--  	10.06	--  	--  	--  	--  	20191025	19980626	         27.45	--  	--  	157.62	129.85	          3.18	15.60	74.61	50.30	7.49	21.31	11.10	5.81	45.49	113.11	93.63	10.76	0.97	10.90	9.11	8.91	6.76	50.82	12.61	-3.96	78547.00	         14258	11.34万	-46.32	-5.80	          1.68	17.30	1.93	1.89	0.324㈢	          4.73	0.00	          1.66	          1.85	          0.46	         82.39	   6.86㈢	         17.22	          9.52	          7.88	3.40	6620	600160	--  	--  	--  	
